Price,SuperBuild,BHK,Total_Sq_Ft,Floor
₹ 81.4 Lac,₹ 5600,"
3 BHK Apartment
",1454 sqft,New Property
₹ 62.4 Lac,0,"
3 BHK Apartment
",792 sqft,10 out of 13 floors
₹ 41.6 Lac,₹ 4674,"
2 BHK Apartment
",891 sqft,6 out of 14 floors
₹ 40.7 Lac,₹ 3500,"
3 BHK Apartment
",1163 sqft,3 out of 4 floors
₹ 78 Lac,₹ 5567,"
3 BHK Apartment
",1401 sqft,2 out of 30 floors
₹ 47.5 Lac,₹ 3274,"
3 BHK Apartment
",1451 sqft,2
₹ 85.2 Lac,₹ 5996,"
3 BHK Apartment
",1421 sqft,New Property
₹ 72.1 Lac,0,"
3 BHK Apartment
",872 sqft,6 out of 11 floors
₹ 29.7 Lac,₹ 3450,"
2 BHK Apartment
",860 sqft,New Property
₹ 21.4 Lac,₹ 2650,"
2 BHK Apartment
",807 sqft,2 out of 4 floors
₹ 34.5 Lac,₹ 2816,"
3 BHK Apartment
",1225 sqft,New Property
₹ 45 Lac,₹ 4712,"
2 BHK Apartment
",954 sqft,New Property
₹ 17.1 Lac,₹ 2450,"
2 BHK Apartment
",698 sqft,1 out of 4 floors
₹ 46.9 Lac,0,"
2 BHK Apartment
",627 sqft,2 out of 11 floors
₹ 45.7 Lac,0,"
2 BHK Apartment
",587 sqft,5 out of 12 floors
₹ 47 Lac,₹ 4781,"
2 BHK Apartment
",983 sqft,9 out of 10 floors
₹ 56 Lac,0,"
2 BHK Apartment
",900 sqft,6 out of 19 floors
₹ 84 Lac,0,"
3 BHK Apartment
",896 sqft,5 out of 12 floors
₹ 41.7 Lac,0,"
2 BHK Apartment
",548 sqft,2 out of 12 floors
₹ 23.8 Lac,0,"
2 BHK Apartment
",634 sqft,3 out of 4 floors
₹ 28.9 Lac,₹ 3152,"
2 BHK Apartment
",917 sqft,7 out of 10 floors
₹ 60 Lac,₹ 3965,"
3 BHK Apartment
",1513 sqft,1 out of 2 floors
₹ 48 Lac,₹ 4363,"
2 BHK Apartment
",1100 sqft,3 out of 4 floors
₹ 48.7 Lac,₹ 5299,"
2 BHK Apartment
",919 sqft,8 out of 20 floors
₹ 64 Lac,0,"
3 BHK Apartment
",880 sqft,9 out of 10 floors
₹ 47.5 Lac,₹ 4000,"
3 BHK Apartment
",1188 sqft,2 out of 3 floors
₹ 40.5 Lac,₹ 4250,"
2 BHK Apartment
",952 sqft,New Property
₹ 45.3 Lac,₹ 4194,"
2 BHK Apartment
",1080 sqft,New Property
₹ 27.6 Lac,0,"
2 BHK Apartment
",533 sqft,3 out of 4 floors
₹ 59.6 Lac,₹ 4783,"
3 BHK Apartment
",1246 sqft,3 out of 10 floors
₹ 89 Lac,0,"
3 BHK Apartment
",973 sqft,8 out of 12 floors
₹ 45.7 Lac,₹ 3700,"
2 BHK Apartment
",1236 sqft,5 out of 6 floors
₹ 16.6 Lac,₹ 3850,"
1 BHK Apartment
",430 sqft,2 out of 6 floors
₹ 70.5 Lac,₹ 7500,"
2 BHK Apartment
",940 sqft,Unfurnished
₹ 32.2 Lac,₹ 2800,"
3 BHK Apartment
",1150 sqft,New Property
₹ 37.3 Lac,₹ 4212,"
2 BHK Apartment
",886 sqft,New Property
₹ 30.6 Lac,₹ 3650,"
2 BHK Apartment
",839 sqft,New Property
₹ 56.6 Lac,0,"
3 BHK Apartment
",712 sqft,New Property
₹ 23.4 Lac,0,"
2 BHK Apartment
",600 sqft,4 out of 4 floors
₹ 56 Lac,₹ 5634,"
2 BHK Apartment
",994 sqft,4 out of 4 floors
₹ 82.6 Lac,0,"
3 BHK Apartment
",1035 sqft,New Property
₹ 33.6 Lac,0,"
2 BHK Apartment
",650 sqft,3 out of 3 floors
₹ 23 Lac,₹ 2555,"
2 BHK Apartment
",900 sqft,Ground out of 4 floors
₹ 84 Lac,₹ 6335,"
3 BHK Apartment
",1326 sqft,4 out of 4 floors
₹ 74 Lac,0,"
3 BHK Apartment
",1300 sqft,11 out of 17 floors
₹ 90 Lac,₹ 7143,"
2 BHK Apartment
",1260 sqft,6 out of 12 floors
₹ 90 Lac,0,"
2 BHK Apartment
",937 sqft,8 out of 14 floors
₹ 75 Lac,0,"
3 BHK Apartment
",1099 sqft,2 out of 4 floors
₹ 15 Lac,0,"
1 BHK Apartment
",350 sqft,2 out of 4 floors
₹ 84 Lac,0,"
3 BHK Apartment
",1100 sqft,12 out of 13 floors
₹ 65 Lac,0,"
3 BHK Apartment
",1337 sqft,6 out of 7 floors
₹ 60 Lac,0,"
3 BHK Builder Floor
",1020 sqft,3 out of 3 floors
₹ 32.4 Lac,0,"
2 BHK Apartment
",730 sqft,4 out of 4 floors
₹ 55 Lac,0,"
2 BHK Builder Floor
",800 sqft,4 out of 4 floors
₹ 32 Lac,0,"
2 BHK Apartment
",690 sqft,1 out of 4 floors
₹ 52 Lac,₹ 3714,"
2 BHK Apartment
",1400 sqft,3 out of 3 floors
₹ 46 Lac,₹ 4816,"
3 BHK Apartment
",955 sqft,3 out of 3 floors
₹ 45 Lac,₹ 4091,"
3 BHK Apartment
",1100 sqft,1 out of 3 floors
₹ 42 Lac,0,"
2 BHK Apartment
",780 sqft,2 out of 4 floors
₹ 25 Lac,0,"
1 BHK Apartment
",614 sqft,1 out of 4 floors
₹ 55 Lac,0,"
3 BHK Apartment
",1200 sqft,11 out of 14 floors
₹ 38 Lac,0,"
2 BHK Apartment
",797 sqft,2 out of 5 floors
₹ 43 Lac,₹ 3386,"
3 BHK Apartment
",1270 sqft,1 out of 5 floors
₹ 31.8 Lac,0,"
3 BHK Apartment
",892 sqft,2 out of 2 floors
₹ 38 Lac,0,"
3 BHK Apartment
",883 sqft,1 out of 4 floors
₹ 27 Lac,0,"
2 BHK Apartment
",800 sqft,Ground out of 3 floors
₹ 40 Lac,0,"
2 BHK Apartment
",548 sqft,1 out of 15 floors
₹ 35 Lac,0,"
2 BHK Apartment
",781 sqft,2 out of 5 floors
₹ 70 Lac,0,"
3 BHK Apartment
",900 sqft,3 out of 3 floors
₹ 26 Lac,₹ 3514,"
2 BHK Apartment
",740 sqft,1 out of 4 floors
₹ 33.2 Lac,₹ 3700,"
2 BHK Apartment
",896 sqft,2 out of 4 floors
₹ 38 Lac,₹ 4056,"
2 BHK Apartment
",937 sqft,3 out of 4 floors
₹ 38 Lac,0,"
2 BHK Apartment
",536 sqft,3 out of 4 floors
₹ 48 Lac,0,"
4 BHK Builder Floor
",1071 sqft,4 out of 4 floors
₹ 90 Lac,0,"
3 BHK Apartment
",1174 sqft,9 out of 9 floors
₹ 69 Lac,₹ 5450,"
3 BHK Apartment
",1266 sqft,11 out of 11 floors
₹ 35 Lac,0,"
2 BHK Apartment
",820 sqft,3 out of 4 floors
₹ 42.5 Lac,₹ 5519,"
2 BHK Apartment
",770 sqft,1 out of 4 floors
₹ 55 Lac,0,"
3 BHK Apartment
",954 sqft,4 out of 5 floors
₹ 55 Lac,0,"
3 BHK Apartment
",1089 sqft,3 out of 4 floors
₹ 28 Lac,0,"
2 BHK Apartment
",629 sqft,3 out of 3 floors
₹ 29.5 Lac,0,"
2 BHK Apartment
",636 sqft,4 out of 4 floors
₹ 27 Lac,0,"
2 BHK Apartment
",830 sqft,1 out of 3 floors
₹ 65 Lac,0,"
3 BHK Apartment
",1040 sqft,4 out of 5 floors
₹ 33 Lac,0,"
2 BHK Apartment
",681 sqft,1 out of 3 floors
₹ 41.1 Lac,0,"
3 BHK Apartment
",900 sqft,2 out of 5 floors
₹ 90 Lac,₹ 6844,"
2 BHK Apartment
",1315 sqft,1 out of 6 floors
₹ 50 Lac,0,"
2 BHK Apartment
",900 sqft,2 out of 5 floors
₹ 55 Lac,₹ 5528,"
2 BHK Apartment
",995 sqft,14 out of 20 floors
₹ 25 Lac,₹ 2880,"
2 BHK Apartment
",868 sqft,4 out of 4 floors
₹ 20 Lac,₹ 3225,"
2 BHK Apartment
",620 sqft,2 out of 4 floors
₹ 30 Lac,0,"
2 BHK Apartment
",884 sqft,2 out of 5 floors
₹ 45 Lac,0,"
2 BHK Apartment
",817 sqft,1 out of 4 floors
₹ 75 Lac,₹ 6163,"
3 BHK Apartment
",1217 sqft,1 out of 5 floors
₹ 28.6 Lac,0,"
3 BHK Apartment
",750 sqft,4 out of 4 floors
₹ 22 Lac,₹ 3034,"
2 BHK Apartment
",725 sqft,1 out of 4 floors
₹ 40 Lac,0,"
2 BHK Apartment
",720 sqft,3 out of 3 floors
₹ 25 Lac,0,"
2 BHK Apartment
",500 sqft,1 out of 3 floors
₹ 45 Lac,₹ 4314,"
2 BHK Apartment
",1043 sqft,2 out of 2 floors
₹ 67 Lac,₹ 4573,"
3 BHK Apartment
",1465 sqft,1 out of 13 floors
₹ 25 Lac,₹ 3463,"
2 BHK Apartment
",722 sqft,3 out of 4 floors
₹ 70 Lac,₹ 3333,"
4 BHK Apartment
",2100 sqft,3 out of 3 floors
₹ 50 Lac,0,"
3 BHK Apartment
",1120 sqft,4 out of 4 floors
